subgroup_type,subgroup,n,n_cal,coverage_global,coverage_mondrian,coverage_lwcc_a,set_size_global,set_size_mondrian,set_size_lwcc_a,abs_dev_global,abs_dev_mondrian,abs_dev_lwcc_a
race,AfricanAmerican,3143,3162,0.9055042952593064,0.9000954502068088,0.9093223035316577,0.9920458160992682,0.9850461342666242,1.0149538657333756,0.005504295259306402,9.545020680878924e-05,0.009322303531657639
race,Asian,127,122,0.889763779527559,0.889763779527559,0.905511811023622,0.9921259842519685,0.9921259842519685,1.0236220472440944,0.010236220472440993,0.010236220472440993,0.005511811023621971
race,Caucasian,13078,13080,0.900443492888821,0.904343171738798,0.9103838507417036,0.9844012846000918,0.9902890350206454,1.025997858999847,0.00044349288882095106,0.004343171738797946,0.01038385074170356
race,Hispanic,344,382,0.9040697674418605,0.8982558139534884,0.9098837209302325,0.9912790697674418,0.9825581395348837,1.0116279069767442,0.0040697674418604946,0.0017441860465116088,0.009883720930232487
race,Other,305,257,0.9081967213114754,0.8918032786885246,0.9081967213114754,1.0,0.9737704918032787,1.0,0.008196721311475419,0.008196721311475419,0.008196721311475419
race,Unknown,496,489,0.9092741935483871,0.8568548387096774,0.9092741935483871,0.9919354838709677,0.9193548387096774,1.0100806451612903,0.0092741935483871,0.04314516129032264,0.0092741935483871
gender,Female,9243,9374,0.9028453965162826,0.9025208265714595,0.9124743048793682,0.9868008222438602,0.9866926322622526,1.0227198961376176,0.0028453965162825723,0.002520826571459467,0.012474304879368181
gender,Male,8250,8118,0.9004848484848484,0.900969696969697,0.9073939393939394,0.9860606060606061,0.9871515151515151,1.022909090909091,0.00048484848484842136,0.0009696969696969537,0.007393939393939397
age,[0-10),30,43,1.0,1.0,1.0,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998
age,[10-20),140,115,0.95,0.95,0.9642857142857143,0.9857142857142858,0.9928571428571429,1.0142857142857142,0.04999999999999993,0.04999999999999993,0.06428571428571428
age,[20-30),277,264,0.9314079422382672,0.927797833935018,0.924187725631769,0.9927797833935018,0.9855595667870036,0.9891696750902527,0.03140794223826715,0.027797833935018,0.024187725631768964
age,[30-40),686,618,0.922740524781341,0.9212827988338192,0.9139941690962099,0.9766763848396501,0.9752186588921283,0.9927113702623906,0.02274052478134103,0.021282798833819228,0.013994169096209874
age,[40-50),1686,1714,0.9306049822064056,0.9294187425860023,0.9317912218268091,0.99644128113879,0.9958481613285883,1.00711743772242,0.030604982206405618,0.0294187425860023,0.031791221826809046
age,[50-60),3073,3091,0.9173446143833388,0.9183208590953466,0.9238529124633909,0.9902375528799219,0.9912137975919297,1.017246989912138,0.017344614383338786,0.01832085909534653,0.02385291246339083
age,[60-70),3939,3965,0.9020055851739021,0.9004823559279005,0.9075907590759076,0.9875602944909876,0.9865448083269865,1.019040365575019,0.002005585173902036,0.00048235592790046855,0.0075907590759075605
age,[70-80),4474,4389,0.8873491282968261,0.8898077782744748,0.9012069736253912,0.9827894501564596,0.9854716137684398,1.0333035315154224,0.012650871703173916,0.010192221725525252,0.0012069736253911278
age,[80-90),2735,2847,0.880073126142596,0.8793418647166362,0.8950639853747715,0.9820840950639854,0.9828153564899451,1.0372943327239488,0.019926873857403993,0.0206581352833638,0.004936014625228524
age,[90-100),453,446,0.8874172185430463,0.8852097130242825,0.8984547461368654,0.9867549668874173,0.9823399558498896,1.030905077262693,0.012582781456953684,0.014790286975717493,0.0015452538631346435
