subgroup_type,subgroup,n,coverage_global,set_size_global,coverage_mondrian,set_size_mondrian
race,AfricanAmerican,3143,0.9055042952593064,0.9920458160992682,0.9000954502068088,0.9850461342666242
race,Asian,127,0.889763779527559,0.9921259842519685,0.889763779527559,0.9921259842519685
race,Caucasian,13078,0.900443492888821,0.9844012846000918,0.904343171738798,0.9902890350206454
race,Hispanic,344,0.9040697674418605,0.9912790697674418,0.8982558139534884,0.9825581395348837
race,Other,305,0.9081967213114754,1.0,0.8918032786885246,0.9737704918032787
race,Unknown,496,0.9092741935483871,0.9919354838709677,0.8568548387096774,0.9193548387096774
gender,Female,9243,0.9028453965162826,0.9868008222438602,0.9025208265714595,0.9866926322622526
gender,Male,8250,0.9004848484848484,0.9860606060606061,0.900969696969697,0.9871515151515151
age,[0-10),30,1.0,1.0,1.0,1.0
age,[10-20),140,0.95,0.9857142857142858,0.95,0.9928571428571429
age,[20-30),277,0.9314079422382672,0.9927797833935018,0.927797833935018,0.9855595667870036
age,[30-40),686,0.922740524781341,0.9766763848396501,0.9212827988338192,0.9752186588921283
age,[40-50),1686,0.9306049822064056,0.99644128113879,0.9294187425860023,0.9958481613285883
age,[50-60),3073,0.9173446143833388,0.9902375528799219,0.9183208590953466,0.9912137975919297
age,[60-70),3939,0.9020055851739021,0.9875602944909876,0.9004823559279005,0.9865448083269865
age,[70-80),4474,0.8873491282968261,0.9827894501564596,0.8898077782744748,0.9854716137684398
age,[80-90),2735,0.880073126142596,0.9820840950639854,0.8793418647166362,0.9828153564899451
age,[90-100),453,0.8874172185430463,0.9867549668874173,0.8852097130242825,0.9823399558498896
